epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3158.64,0.90245,0.48695,1.00432,0.97346,0.96984,0.98464,0.77756,0.8054,0.37372,0.93446,0.007228,0.007228,0.007228
44,3229.84,0.89527,0.48379,1.00161,0.97051,0.9741,0.98629,0.78133,0.79805,0.36605,0.92717,0.007162,0.007162,0.007162
45,3301.89,0.8983,0.48737,1.0016,0.97006,0.97701,0.98388,0.77763,0.79662,0.36462,0.9264,0.007096,0.007096,0.007096
46,3374.47,0.89559,0.47898,0.99677,0.96897,0.97318,0.98629,0.78066,0.79955,0.36285,0.9221,0.00703,0.00703,0.00703
47,3446.72,0.90425,0.48305,1.00273,0.97575,0.97228,0.98645,0.78587,0.79108,0.36127,0.92044,0.006964,0.006964,0.006964
48,3518.88,0.89806,0.48042,0.99864,0.97135,0.96932,0.98585,0.78419,0.79794,0.35704,0.92111,0.006898,0.006898,0.006898
49,3591.13,0.89234,0.47351,0.99608,0.96765,0.97415,0.98638,0.78327,0.79655,0.35412,0.91966,0.006832,0.006832,0.006832
50,3662.8,0.89172,0.46798,0.99171,0.97337,0.96916,0.98685,0.78312,0.79173,0.35016,0.91637,0.006766,0.006766,0.006766
51,3735.62,0.88977,0.47078,1.00177,0.97003,0.97261,0.98403,0.7841,0.79015,0.35182,0.91921,0.0067,0.0067,0.0067
52,3807.8,0.89009,0.47164,0.99725,0.96848,0.97257,0.98576,0.78596,0.78877,0.34947,0.91894,0.006634,0.006634,0.006634
53,3879.43,0.8908,0.47024,0.99578,0.96546,0.97183,0.98484,0.78271,0.79114,0.35289,0.92113,0.006568,0.006568,0.006568
54,3951.06,0.88379,0.46472,0.98657,0.96266,0.97623,0.98628,0.78613,0.79032,0.34433,0.91491,0.006502,0.006502,0.006502
55,4022.06,0.88344,0.46489,0.99316,0.97277,0.97334,0.98753,0.79031,0.78903,0.34361,0.91461,0.006436,0.006436,0.006436
56,4094.04,0.88525,0.46441,0.9921,0.97139,0.97503,0.98641,0.78825,0.78783,0.34233,0.91409,0.00637,0.00637,0.00637
57,4164.93,0.8787,0.45841,0.99036,0.97394,0.97339,0.98709,0.7889,0.7847,0.34299,0.91283,0.006304,0.006304,0.006304
58,4236.77,0.87653,0.4582,0.98798,0.9721,0.97383,0.98771,0.78987,0.78394,0.34248,0.91345,0.006238,0.006238,0.006238
59,4308.58,0.87559,0.45636,0.98843,0.96871,0.97407,0.98759,0.79173,0.78381,0.34382,0.91329,0.006172,0.006172,0.006172
60,4381.47,0.87512,0.4565,0.98798,0.96756,0.96515,0.98812,0.79055,0.78251,0.34022,0.91504,0.006106,0.006106,0.006106
61,4453.89,0.87848,0.45582,0.98978,0.96591,0.97498,0.98845,0.79217,0.78204,0.33928,0.91411,0.00604,0.00604,0.00604
62,4526.54,0.87163,0.4528,0.98321,0.96616,0.97494,0.98829,0.79375,0.7819,0.3421,0.91395,0.005974,0.005974,0.005974
63,4599.25,0.86806,0.45558,0.98482,0.9653,0.97596,0.98861,0.79462,0.7824,0.3415,0.91251,0.005908,0.005908,0.005908
64,4670.61,0.86753,0.44971,0.9849,0.96701,0.97562,0.98831,0.79357,0.78341,0.33873,0.91088,0.005842,0.005842,0.005842
65,4743.05,0.86537,0.44697,0.98214,0.96539,0.97654,0.98806,0.79307,0.78091,0.336,0.90941,0.005776,0.005776,0.005776
66,4814.85,0.87301,0.4504,0.98544,0.96481,0.97643,0.98694,0.79213,0.78157,0.33694,0.90869,0.00571,0.00571,0.00571
67,4887.26,0.86258,0.44706,0.98012,0.96706,0.97552,0.9871,0.7941,0.77691,0.33473,0.90648,0.005644,0.005644,0.005644
68,4959.11,0.86314,0.44401,0.98155,0.97041,0.97513,0.98681,0.79348,0.77604,0.33373,0.90527,0.005578,0.005578,0.005578
69,5030.19,0.85975,0.44465,0.98468,0.96904,0.97565,0.98666,0.79384,0.77645,0.33433,0.90625,0.005512,0.005512,0.005512
70,5103.2,0.86799,0.44362,0.98349,0.96804,0.97536,0.98698,0.79294,0.77489,0.33337,0.90616,0.005446,0.005446,0.005446
71,5175.1,0.85969,0.44112,0.97788,0.96957,0.97519,0.98705,0.79374,0.77568,0.3322,0.906,0.00538,0.00538,0.00538
72,5247.79,0.85572,0.4412,0.97712,0.97097,0.97518,0.98753,0.79383,0.77615,0.3323,0.90536,0.005314,0.005314,0.005314
73,5319.78,0.85763,0.43672,0.97713,0.97106,0.97512,0.98747,0.79379,0.77559,0.33073,0.90455,0.005248,0.005248,0.005248
74,5392.25,0.85106,0.43836,0.97828,0.9717,0.97343,0.98724,0.79457,0.77423,0.32991,0.90354,0.005182,0.005182,0.005182
