epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2153.47,0.89026,0.46766,0.98935,0.96347,0.95403,0.97559,0.7495,0.89343,0.41429,0.96437,0.007228,0.007228,0.007228
44,2203.11,0.876,0.46589,0.98224,0.97663,0.96661,0.98353,0.75217,0.88056,0.40828,0.95393,0.007162,0.007162,0.007162
45,2255.48,0.87865,0.46405,0.98353,0.97702,0.97354,0.98604,0.77208,0.83929,0.38522,0.94325,0.007096,0.007096,0.007096
46,2306.47,0.87877,0.46653,0.98597,0.97338,0.96933,0.9856,0.76602,0.84412,0.4095,0.95199,0.00703,0.00703,0.00703
47,2356.34,0.87454,0.46175,0.98434,0.9642,0.96335,0.98323,0.75825,0.8529,0.39942,0.95701,0.006964,0.006964,0.006964
48,2409.15,0.88248,0.46084,0.98386,0.96495,0.96825,0.98428,0.76576,0.84631,0.39632,0.94796,0.006898,0.006898,0.006898
49,2462.02,0.87279,0.45991,0.98347,0.97057,0.9674,0.98448,0.77159,0.8418,0.39033,0.94682,0.006832,0.006832,0.006832
50,2512.05,0.87245,0.45557,0.97933,0.97846,0.96994,0.98611,0.77192,0.85139,0.38134,0.95336,0.006766,0.006766,0.006766
51,2561.92,0.87049,0.45608,0.98181,0.95415,0.97138,0.98017,0.76787,0.85237,0.38714,0.95227,0.0067,0.0067,0.0067
52,2611.91,0.87226,0.45764,0.98175,0.97267,0.96194,0.98246,0.75433,0.8855,0.39861,0.95844,0.006634,0.006634,0.006634
53,2661.57,0.86785,0.45105,0.97836,0.97721,0.9643,0.98514,0.78134,0.82729,0.38423,0.93874,0.006568,0.006568,0.006568
54,2711.34,0.86831,0.45148,0.9794,0.97189,0.97266,0.98426,0.78021,0.82713,0.37766,0.94471,0.006502,0.006502,0.006502
55,2761.12,0.8716,0.4494,0.98247,0.97592,0.96951,0.98693,0.78583,0.82402,0.37609,0.93948,0.006436,0.006436,0.006436
56,2810.86,0.85807,0.44445,0.97681,0.97096,0.97177,0.98558,0.78228,0.82529,0.37438,0.94351,0.00637,0.00637,0.00637
57,2860.6,0.86202,0.4452,0.98233,0.96332,0.97695,0.98385,0.77925,0.83166,0.37326,0.94659,0.006304,0.006304,0.006304
58,2910.1,0.86101,0.44073,0.97712,0.96835,0.97028,0.98391,0.78006,0.83634,0.3708,0.94389,0.006238,0.006238,0.006238
59,2959.88,0.85163,0.44009,0.97218,0.97573,0.97181,0.98722,0.78664,0.81962,0.37275,0.93805,0.006172,0.006172,0.006172
60,3009.62,0.86099,0.44496,0.98118,0.9705,0.97236,0.98765,0.78519,0.81874,0.37083,0.94074,0.006106,0.006106,0.006106
61,3059.19,0.85814,0.44062,0.97541,0.96715,0.97148,0.98602,0.78087,0.81581,0.37311,0.94028,0.00604,0.00604,0.00604
62,3109.14,0.85559,0.43882,0.97671,0.97143,0.97487,0.98607,0.77363,0.82576,0.36745,0.94469,0.005974,0.005974,0.005974
63,3159,0.85192,0.43677,0.97317,0.97168,0.97283,0.98619,0.78723,0.81774,0.36651,0.93608,0.005908,0.005908,0.005908
64,3208.75,0.85099,0.43348,0.97429,0.97118,0.97087,0.98567,0.78446,0.82061,0.3649,0.93707,0.005842,0.005842,0.005842
65,3258.34,0.84997,0.43416,0.9691,0.97041,0.97495,0.98594,0.78357,0.81771,0.36211,0.93442,0.005776,0.005776,0.005776
66,3307.93,0.85061,0.43358,0.97324,0.97274,0.96872,0.98502,0.7828,0.81329,0.36275,0.93435,0.00571,0.00571,0.00571
67,3357.81,0.85248,0.43421,0.97152,0.97488,0.96796,0.98391,0.78292,0.82675,0.35953,0.93992,0.005644,0.005644,0.005644
68,3407.33,0.84916,0.42954,0.97046,0.96502,0.97272,0.9831,0.77732,0.82616,0.36419,0.94315,0.005578,0.005578,0.005578
69,3457.17,0.84086,0.43318,0.9683,0.97032,0.97622,0.98664,0.78936,0.80889,0.35646,0.93468,0.005512,0.005512,0.005512
70,3506.83,0.84252,0.4284,0.96201,0.97217,0.97301,0.98506,0.7908,0.81034,0.35539,0.93027,0.005446,0.005446,0.005446
71,3556.74,0.84758,0.42974,0.96838,0.97792,0.9743,0.98756,0.78934,0.80871,0.35327,0.92963,0.00538,0.00538,0.00538
