epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10486.4,0.88079,0.44207,1.06211,0.97644,0.9768,0.98681,0.78828,0.81535,0.34333,1.03233,0.00898525,0.00898525,0.00898525
43,10734.8,0.88257,0.44523,1.06623,0.97715,0.97225,0.98866,0.79155,0.81133,0.34329,1.04052,0.0089605,0.0089605,0.0089605
44,10985.2,0.87642,0.44007,1.06172,0.97272,0.97748,0.98757,0.79346,0.8063,0.34137,1.03532,0.00893575,0.00893575,0.00893575
45,11235.4,0.87958,0.44481,1.06205,0.9744,0.97909,0.98992,0.79396,0.80922,0.34008,1.03189,0.008911,0.008911,0.008911
46,11486,0.87453,0.4389,1.05137,0.97489,0.97397,0.98896,0.79245,0.81022,0.33936,1.02773,0.00888625,0.00888625,0.00888625
47,11733.8,0.87871,0.43879,1.06011,0.97588,0.9751,0.98825,0.79324,0.80771,0.33872,1.03066,0.0088615,0.0088615,0.0088615
48,11981.3,0.87012,0.43149,1.05727,0.97601,0.97422,0.9888,0.79496,0.80866,0.3354,1.0321,0.00883675,0.00883675,0.00883675
49,12232.1,0.87206,0.4328,1.05677,0.97177,0.97956,0.98768,0.79476,0.80643,0.33286,1.03065,0.008812,0.008812,0.008812
50,12479.7,0.87547,0.43794,1.05605,0.97463,0.97444,0.98508,0.7964,0.80473,0.32984,1.02712,0.00878725,0.00878725,0.00878725
51,12730.1,0.87083,0.43163,1.06118,0.97121,0.9768,0.98665,0.7962,0.80283,0.32709,1.02415,0.0087625,0.0087625,0.0087625
52,12977.9,0.87004,0.42882,1.05363,0.9752,0.97732,0.98924,0.79783,0.80211,0.32424,1.02179,0.00873775,0.00873775,0.00873775
53,13228.4,0.86621,0.42558,1.05321,0.96913,0.97714,0.989,0.80092,0.7996,0.32549,1.02485,0.008713,0.008713,0.008713
54,13479.6,0.86511,0.43029,1.05564,0.9685,0.98526,0.99005,0.80285,0.79706,0.3272,1.02712,0.00868825,0.00868825,0.00868825
55,13730.3,0.86951,0.42786,1.05352,0.9715,0.97785,0.98698,0.80085,0.79804,0.32228,1.02575,0.0086635,0.0086635,0.0086635
56,13977.5,0.86619,0.42777,1.04804,0.97144,0.98257,0.98968,0.80196,0.79639,0.32291,1.02176,0.00863875,0.00863875,0.00863875
57,14225.1,0.8523,0.4212,1.0449,0.97392,0.98097,0.98845,0.80406,0.79696,0.32533,1.02092,0.008614,0.008614,0.008614
58,14477.5,0.85822,0.42011,1.04541,0.9732,0.97975,0.98889,0.80175,0.79568,0.32351,1.02134,0.00858925,0.00858925,0.00858925
59,14724.6,0.85501,0.41924,1.04272,0.97232,0.97562,0.98725,0.80097,0.79241,0.32375,1.01969,0.0085645,0.0085645,0.0085645
60,14971.7,0.85271,0.41956,1.04218,0.97281,0.97733,0.98835,0.80153,0.79423,0.32043,1.01771,0.00853975,0.00853975,0.00853975
61,15218.7,0.85939,0.42452,1.04977,0.97314,0.97985,0.98894,0.80348,0.7922,0.32081,1.01644,0.008515,0.008515,0.008515
62,15465.4,0.85942,0.42582,1.05153,0.97154,0.98056,0.98881,0.8025,0.79038,0.32039,1.01756,0.00849025,0.00849025,0.00849025
63,15712.2,0.86006,0.42148,1.04828,0.96863,0.98377,0.98904,0.80455,0.78884,0.32053,1.01656,0.0084655,0.0084655,0.0084655
64,15962.1,0.85884,0.41781,1.04568,0.97215,0.98369,0.98943,0.80522,0.78465,0.31906,1.01352,0.00844075,0.00844075,0.00844075
65,16212.2,0.84327,0.41554,1.0463,0.97125,0.98339,0.9894,0.805,0.78391,0.31788,1.01446,0.008416,0.008416,0.008416
66,16460.3,0.8497,0.41732,1.04028,0.97004,0.98384,0.98869,0.8032,0.78812,0.31714,1.01517,0.00839125,0.00839125,0.00839125
67,16709.5,0.84358,0.41619,1.04401,0.96885,0.98351,0.98916,0.80385,0.78927,0.31712,1.0195,0.0083665,0.0083665,0.0083665
68,16956.2,0.84276,0.41129,1.0469,0.97146,0.98238,0.98907,0.8037,0.79103,0.31551,1.02255,0.00834175,0.00834175,0.00834175
69,17203.1,0.85015,0.41646,1.04911,0.97174,0.9831,0.98997,0.8047,0.78875,0.31322,1.02184,0.008317,0.008317,0.008317
