epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6685.03,0.88017,0.44277,1.03317,0.97597,0.97668,0.9895,0.7887,0.82693,0.35283,1.00455,0.00898525,0.00898525,0.00898525
43,6842.87,0.88306,0.43759,1.03341,0.97553,0.9757,0.98825,0.79077,0.82916,0.34744,1.01263,0.0089605,0.0089605,0.0089605
44,7002,0.87236,0.4376,1.03711,0.97374,0.97759,0.98894,0.79519,0.81821,0.34033,1.01071,0.00893575,0.00893575,0.00893575
45,7161.14,0.87495,0.43797,1.03249,0.97202,0.97866,0.98931,0.79599,0.81809,0.33961,1.00303,0.008911,0.008911,0.008911
46,7320.61,0.87271,0.43777,1.03042,0.97172,0.97825,0.98836,0.79782,0.8208,0.34471,1.00509,0.00888625,0.00888625,0.00888625
47,7479.45,0.86957,0.43393,1.03198,0.97399,0.973,0.98831,0.7945,0.82059,0.34098,1.0083,0.0088615,0.0088615,0.0088615
48,7639.06,0.86896,0.4351,1.03534,0.96826,0.97696,0.98814,0.79684,0.8169,0.3432,1.01541,0.00883675,0.00883675,0.00883675
49,7798.31,0.87412,0.43318,1.03123,0.97123,0.97717,0.98783,0.79779,0.8189,0.33862,1.01557,0.008812,0.008812,0.008812
50,7956.37,0.86191,0.42965,1.03225,0.96894,0.98045,0.98803,0.79725,0.8085,0.33731,1.00453,0.00878725,0.00878725,0.00878725
51,8115.21,0.86333,0.42563,1.02932,0.9659,0.97833,0.98827,0.79652,0.81067,0.33353,1.01199,0.0087625,0.0087625,0.0087625
52,8273.29,0.86437,0.43071,1.0306,0.96977,0.97549,0.98826,0.79953,0.81119,0.33532,1.00729,0.00873775,0.00873775,0.00873775
53,8432.49,0.87074,0.43034,1.02919,0.97145,0.97375,0.98753,0.80016,0.8088,0.33322,1.00388,0.008713,0.008713,0.008713
54,8591.58,0.86197,0.42834,1.02019,0.97405,0.97678,0.98892,0.80106,0.81084,0.32929,0.99484,0.00868825,0.00868825,0.00868825
55,8750.66,0.86032,0.42773,1.02825,0.97294,0.98115,0.99062,0.80116,0.81075,0.33101,1.001,0.0086635,0.0086635,0.0086635
56,8910.03,0.86261,0.42493,1.02889,0.97214,0.98048,0.98852,0.79932,0.81024,0.32769,1.00155,0.00863875,0.00863875,0.00863875
57,9067.81,0.85353,0.42361,1.01731,0.97327,0.97714,0.98858,0.80129,0.80954,0.32634,0.99651,0.008614,0.008614,0.008614
58,9226.09,0.8628,0.42045,1.02298,0.96959,0.98075,0.98951,0.80142,0.80801,0.32469,1.00119,0.00858925,0.00858925,0.00858925
59,9385.79,0.85323,0.42376,1.02382,0.96889,0.97911,0.98909,0.80145,0.80427,0.32585,1.00364,0.0085645,0.0085645,0.0085645
60,9544.46,0.85152,0.41958,1.02892,0.96655,0.97839,0.98844,0.80174,0.8035,0.32606,1.00452,0.00853975,0.00853975,0.00853975
61,9703.57,0.85439,0.42382,1.02616,0.97031,0.97904,0.98835,0.8032,0.8027,0.32499,1.00574,0.008515,0.008515,0.008515
62,9864.34,0.84605,0.42013,1.02496,0.97217,0.98127,0.99022,0.80385,0.80334,0.32475,1.00517,0.00849025,0.00849025,0.00849025
63,10023.8,0.8568,0.42329,1.01371,0.96915,0.97909,0.98853,0.80223,0.80098,0.3208,0.99573,0.0084655,0.0084655,0.0084655
64,10181.9,0.85206,0.41966,1.01282,0.97233,0.9785,0.9887,0.80443,0.79909,0.32029,0.99341,0.00844075,0.00844075,0.00844075
65,10341.4,0.84783,0.41893,1.023,0.97382,0.98014,0.98955,0.80371,0.79639,0.32103,0.99556,0.008416,0.008416,0.008416
66,10499.6,0.83926,0.42039,1.01387,0.97088,0.97587,0.98874,0.80451,0.79518,0.32199,0.99657,0.00839125,0.00839125,0.00839125
67,10658.9,0.84628,0.41531,1.0161,0.97047,0.97598,0.98901,0.8053,0.79662,0.32179,0.99638,0.0083665,0.0083665,0.0083665
68,10818.2,0.84693,0.4157,1.01876,0.97356,0.97777,0.99031,0.80511,0.79891,0.31985,0.99754,0.00834175,0.00834175,0.00834175
69,10976.1,0.84575,0.41613,1.01773,0.97205,0.979,0.99027,0.80602,0.79866,0.31981,0.99817,0.008317,0.008317,0.008317
70,11135.2,0.84619,0.41426,1.01418,0.97223,0.97896,0.99034,0.80636,0.79733,0.31864,0.99642,0.00829225,0.00829225,0.00829225
71,11295.7,0.84921,0.41389,1.02096,0.97244,0.9774,0.9892,0.80689,0.79736,0.31836,0.99753,0.0082675,0.0082675,0.0082675
72,11454.6,0.84216,0.41833,1.01639,0.97349,0.98166,0.99044,0.80669,0.79728,0.31772,0.99714,0.00824275,0.00824275,0.00824275
73,11612.7,0.84466,0.41583,1.02263,0.97234,0.98036,0.99034,0.8074,0.79678,0.31667,0.99817,0.008218,0.008218,0.008218
74,11772.2,0.83944,0.412,1.01852,0.96921,0.97837,0.9888,0.80781,0.79585,0.31537,0.99728,0.00819325,0.00819325,0.00819325
75,11931.2,0.83681,0.4125,1.01019,0.96754,0.97913,0.98883,0.80768,0.79604,0.31472,0.9961,0.0081685,0.0081685,0.0081685
76,12089.3,0.83605,0.40906,1.01813,0.96703,0.97995,0.98883,0.80762,0.79656,0.31553,0.99664,0.00814375,0.00814375,0.00814375
77,12247.6,0.83891,0.41169,1.00975,0.96925,0.97944,0.98842,0.80781,0.79581,0.31456,0.99387,0.008119,0.008119,0.008119
78,12405.8,0.83353,0.40405,1.01033,0.96822,0.97881,0.98767,0.80872,0.79404,0.31329,0.99154,0.00809425,0.00809425,0.00809425
79,12565.2,0.83527,0.40473,1.01556,0.96825,0.97894,0.98951,0.80834,0.7941,0.31277,0.99189,0.0080695,0.0080695,0.0080695
80,12723.2,0.83143,0.40845,1.01497,0.96816,0.97886,0.98926,0.80783,0.79392,0.31178,0.99265,0.00804475,0.00804475,0.00804475
